name,personality,estimated_life_exp,grooming_freq,shedding,exercise_required,trainability,temperament
Kuvasz,"Loyal, Fearless, Sweet","(11.0,)","(40,)","(80,)","(60,)","(40,)","(40,)"
West Highland White Terrier,"Loyal, Happy, Entertaining","(14.0,)","(80,)","(60,)","(60,)","(60,)","(80,)"
American Foxhound,"Independent, Easy-Going, Sweet-Tempered","(12.0,)","(20,)","(60,)","(80,)","(40,)","(80,)"
Black and Tan Coonhound,"Easy-Going, Bright, Brave","(11.0,)","(40,)","(60,)","(60,)","(40,)","(80,)"
Biewer Terrier,"Intelligent, Devoted, Amusing","(None,)","(None,)","(None,)","(40,)","(100,)","(100,)"
German Wirehaired Pointer,"Affectionate, Eager, Enthusiastic","(15.0,)","(40,)","(80,)","(100,)","(100,)","(40,)"
Black Russian Terrier,"Intelligent, Calm, Powerful","(11.0,)","(80,)","(60,)","(80,)","(80,)","(40,)"
Treeing Walker Coonhound,"Smart, Brave, Courteous","(12.5,)","(20,)","(60,)","(60,)","(40,)","(80,)"
Yorkshire Terrier,"Affectionate, Sprightly, Tomboyish","(13.0,)","(100,)","(20,)","(60,)","(20,)","(80,)"
Boerboel,"Confident, Intelligent, Calm","(10.0,)","(20,)","(40,)","(40,)","(60,)","(40,)"
Golden Retriever,"Friendly, Intelligent, Devoted","(11.0,)","(40,)","(60,)","(100,)","(100,)","(80,)"
Saint Bernard,"Playful, Charming, Inquisitive","(9.0,)","(40,)","(60,)","(60,)","(60,)","(80,)"
Wirehaired Vizsla,"Gentle, Loyal, Trainable","(13.0,)","(20,)","(60,)","(80,)","(60,)","(60,)"
Teddy Roosevelt Terrier,"Playful, Versatile, Intelligent","(None,)","(40,)","(60,)","(80,)","(100,)","(80,)"
Drever,"Loyal, Even-Tempered, Determined","(None,)","(20,)","(40,)","(60,)","(20,)","(60,)"
Smooth Fox Terrier,"Friendly, Independent, Amusing","(13.5,)","(40,)","(40,)","(80,)","(60,)","(80,)"
Lowchen,"Affectionate, Outgoing, Positive","(None,)","(20,)","(20,)","(60,)","(60,)","(100,)"
Tornjak,"Friendly, Courageous, Intelligent","(None,)","(None,)","(None,)","(None,)","(80,)","(60,)"
Russian Tsvetnaya Bolonka,"Playful, Charming, Inquisitive","(None,)","(60,)","(20,)","(60,)","(60,)","(80,)"
Saluki,"Gentle, Dignified, Independent-Minded","(13.5,)","(20,)","(40,)","(80,)","(40,)","(40,)"
English Setter,"Friendly, Mellow, Merry","(12.0,)","(60,)","(80,)","(80,)","(80,)","(80,)"
Doberman Pinscher,"Loyal, Fearless, Alert","(11.0,)","(20,)","(80,)","(100,)","(100,)","(60,)"
Toy Fox Terrier,"Friendly, Alert, Intelligent","(14.0,)","(40,)","(40,)","(80,)","(100,)","(80,)"
Chihuahua,"Charming, Graceful, Sassy","(15.0,)","(20,)","(40,)","(60,)","(40,)","(60,)"
Basenji,"Independent, Smart, Poised","(13.5,)","(20,)","(40,)","(80,)","(40,)","(40,)"
Croatian Sheepdog,"Loyal, Active, Alert and Intelligent","(None,)","(20,)","(40,)","(100,)","(100,)","(40,)"
Bloodhound,"Friendly, Independent, Inquisitive","(11.0,)","(40,)","(60,)","(60,)","(40,)","(60,)"
Welsh Springer Spaniel,"Happy, Reserved, Upbeat","(13.5,)","(40,)","(None,)","(80,)","(80,)","(80,)"
Bluetick Coonhound,"Smart, Devoted, Tenacious","(11.5,)","(40,)","(60,)","(80,)","(60,)","(80,)"
Maltese,"Gentle, Playful, Charming","(13.5,)","(80,)","(20,)","(60,)","(60,)","(100,)"
Barbet,"Friendly, Bright, Sweet-Natured","(13.0,)","(None,)","(None,)","(60,)","(60,)","(80,)"
French Spaniel,"Gentle, Sociable, Intelligent","(None,)","(None,)","(None,)","(None,)","(None,)","(None,)"
Romanian Mioritic Shepherd Dog,"Loyal, Independent, Confident Guardian","(None,)","(None,)","(None,)","(60,)","(None,)","(None,)"
Slovensky Kopov,"Courageous, Alert, Determined","(None,)","(20,)","(60,)","(60,)","(None,)","(None,)"
Norfolk Terrier,"Fearless, Alert, Fun-Loving","(14.0,)","(40,)","(60,)","(60,)","(60,)","(80,)"
Pomeranian,"Inquisitive, Bold, Lively","(14.0,)","(60,)","(60,)","(60,)","(60,)","(60,)"
Lhasa Apso,"Confident, Smart, Comical","(13.5,)","(60,)","(20,)","(60,)","(40,)","(40,)"
English Foxhound,"Affectionate, Gentle, Sociable","(11.5,)","(20,)","(80,)","(80,)","(60,)","(80,)"
